frame,screen_x,screen_y
103,636.0599899291992,360.0
104,636.0800170898438,360.0
105,636.1000061035156,360.0
106,636.1199951171875,360.0
107,636.1399841308594,360.0
108,636.1600112915039,360.0
109,636.1800003051758,360.0
110,636.1999893188477,360.0
111,636.2200164794922,360.0
112,636.2400054931641,360.0
113,636.2599945068359,360.0
114,636.2799835205078,360.0
115,636.3000106811523,360.0
116,636.3199996948242,360.0
117,636.3399887084961,360.0
118,636.3600158691406,360.0
119,636.3800048828125,360.0
120,636.3999938964844,360.0
121,636.4199829101562,360.0
122,636.4400100708008,360.0
123,636.4599990844727,360.0
124,636.4799880981445,360.0
125,636.5000152587891,360.0
126,636.5200042724609,360.0
127,636.5399932861328,360.0
128,636.5599822998047,360.0
129,636.5800094604492,360.0
130,636.5999984741211,360.0
131,636.619987487793,360.0
132,636.6400146484375,360.0
133,636.6600036621094,360.0
134,636.6799926757812,360.0
135,636.6999816894531,360.0
136,636.7200088500977,360.0
137,636.7399978637695,360.0
138,636.7599868774414,360.0
139,636.7800140380859,360.0
140,636.8000030517578,360.0
141,636.8199920654297,360.0
142,636.8400192260742,360.0
143,636.8600082397461,360.0
144,636.879997253418,360.0
145,636.8999862670898,360.0
146,636.9200134277344,360.0
147,636.9400024414062,360.0
148,636.9599914550781,360.0
149,636.9800186157227,360.0
150,637.0000076293945,360.0
151,637.0199966430664,360.0
152,637.0399856567383,360.0
153,637.0600128173828,360.0
154,637.0800018310547,360.0
155,637.0999908447266,360.0
156,637.1200180053711,360.0
157,637.140007019043,360.0
158,637.1599960327148,360.0
159,637.1799850463867,360.0
160,637.2000122070312,360.0
161,637.2200012207031,360.0
162,637.239990234375,360.0
163,637.2600173950195,360.0
164,637.2800064086914,360.0
165,637.2999954223633,360.0
166,637.3199844360352,360.0
167,637.3400115966797,360.0
168,637.3600006103516,360.0
169,637.3799896240234,360.0
170,637.400016784668,360.0
171,637.4200057983398,360.0
172,637.4399948120117,360.0
173,637.4599838256836,360.0
174,637.4800109863281,360.0
175,637.5,360.0
176,637.5199890136719,360.0
177,637.5400161743164,360.0
178,637.5600051879883,360.0
179,637.5799942016602,360.0
180,637.599983215332,360.0
181,637.6200103759766,360.0
182,637.6399993896484,360.0
183,637.6599884033203,360.0
184,637.6800155639648,360.0
185,637.7000045776367,360.0
186,637.7199935913086,360.0
187,637.7399826049805,360.0
188,637.760009765625,360.0
189,637.7799987792969,360.0
190,637.7999877929688,360.0
191,637.8200149536133,360.0
192,637.8400039672852,360.0
193,637.859992980957,360.0
194,637.8799819946289,360.0
195,637.9000091552734,360.0
196,637.9199981689453,360.0
197,637.9399871826172,360.0
198,637.9600143432617,360.0
199,637.9800033569336,360.0
200,637.9999923706055,360.0
201,638.02001953125,360.0
202,638.0400085449219,360.0
203,638.0599975585938,360.0
204,638.0799865722656,360.0
205,638.1000137329102,360.0
206,638.120002746582,360.0
207,638.1399917602539,360.0
208,638.1600189208984,360.0
209,638.1800079345703,360.0
210,638.1999969482422,360.0
211,638.2199859619141,360.0
212,638.2400131225586,360.0
213,638.2600021362305,360.0
214,638.2799911499023,360.0
215,638.3000183105469,360.0
216,638.3200073242188,360.0
217,638.3399963378906,360.0
218,638.3599853515625,360.0
219,638.380012512207,360.0
220,638.4000015258789,360.0
221,638.4199905395508,360.0
222,638.4400177001953,360.0
223,638.4600067138672,360.0
224,638.4799957275391,360.0
225,638.4999847412109,360.0
226,638.5200119018555,360.0
227,638.5400009155273,360.0
228,638.5599899291992,360.0
